[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:2 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:93: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 67 [lr=6.25e-06] | L:0.385 (BCE:0.383 REG:0.0018 LB:0.0000) | VAL_AUC:0.8679 PRC:0.8582 F1:0.7849
Ep 68 [lr=6.25e-06] | L:0.385 (BCE:0.383 REG:0.0018 LB:0.0000) | VAL_AUC:0.8679 PRC:0.8583 F1:0.7840
Ep 69 [lr=3.13e-06] | L:0.385 (BCE:0.383 REG:0.0018 LB:0.0000) | VAL_AUC:0.8679 PRC:0.8582 F1:0.7834
Ep 70 [lr=3.13e-06] | L:0.384 (BCE:0.383 REG:0.0018 LB:0.0000) | VAL_AUC:0.8680 PRC:0.8583 F1:0.7843
Ep 71 [lr=3.13e-06] | L:0.384 (BCE:0.383 REG:0.0018 LB:0.0000) | VAL_AUC:0.8680 PRC:0.8584 F1:0.7843
Ep 72 [lr=3.13e-06] | L:0.385 (BCE:0.383 REG:0.0018 LB:0.0000) | VAL_AUC:0.8679 PRC:0.8583 F1:0.7846
Ep 73 [lr=1.56e-06] | L:0.385 (BCE:0.383 REG:0.0018 LB:0.0000) | VAL_AUC:0.8680 PRC:0.8583 F1:0.7838
Ep 74 [lr=1.56e-06] | L:0.384 (BCE:0.382 REG:0.0018 LB:0.0000) | VAL_AUC:0.8680 PRC:0.8583 F1:0.7839
Early stop at epoch 74

最优 AUC: 0.8683  模型: results_operator_moe/A549/no_moe_r8_k4_Fold0_v1.pt
