[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt
  [CL] SpectrumDirectionCL 已启用，lam_cl=0.1

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,218 | device=cuda:0 | fold=0
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 49 [lr=2.00e-04] | L:0.367 (BCE:0.359 REG:0.0020 LB:0.0000 CL:0.0675) | VAL_AUC:0.8893 PRC:0.8816 F1:0.8109
Ep 50 [lr=2.00e-04] | L:0.364 (BCE:0.356 REG:0.0019 LB:0.0000 CL:0.0671) | VAL_AUC:0.8922 PRC:0.8858 F1:0.8103
Ep 51 [lr=2.00e-04] | L:0.363 (BCE:0.354 REG:0.0019 LB:0.0000 CL:0.0668) | VAL_AUC:0.8904 PRC:0.8837 F1:0.8039
Ep 52 [lr=1.00e-04] | L:0.360 (BCE:0.352 REG:0.0020 LB:0.0000 CL:0.0665) | VAL_AUC:0.8928 PRC:0.8866 F1:0.8127
Ep 53 [lr=1.00e-04] | L:0.349 (BCE:0.340 REG:0.0019 LB:0.0000 CL:0.0646) | VAL_AUC:0.8945 PRC:0.8873 F1:0.8139
Ep 54 [lr=1.00e-04] | L:0.348 (BCE:0.339 REG:0.0019 LB:0.0000 CL:0.0642) | VAL_AUC:0.8943 PRC:0.8871 F1:0.8157
Ep 55 [lr=1.00e-04] | L:0.346 (BCE:0.338 REG:0.0019 LB:0.0000 CL:0.0641) | VAL_AUC:0.8936 PRC:0.8870 F1:0.8123
Ep 56 [lr=1.00e-04] | L:0.345 (BCE:0.336 REG:0.0019 LB:0.0000 CL:0.0639) | VAL_AUC:0.8944 PRC:0.8872 F1:0.8154
Ep 57 [lr=5.00e-05] | L:0.342 (BCE:0.334 REG:0.0019 LB:0.0000 CL:0.0636) | VAL_AUC:0.8930 PRC:0.8849 F1:0.8139
Ep 58 [lr=5.00e-05] | L:0.337 (BCE:0.329 REG:0.0019 LB:0.0000 CL:0.0628) | VAL_AUC:0.8954 PRC:0.8883 F1:0.8170
Ep 59 [lr=5.00e-05] | L:0.335 (BCE:0.327 REG:0.0019 LB:0.0000 CL:0.0623) | VAL_AUC:0.8942 PRC:0.8871 F1:0.8112
Ep 60 [lr=5.00e-05] | L:0.333 (BCE:0.325 REG:0.0019 LB:0.0000 CL:0.0622) | VAL_AUC:0.8948 PRC:0.8879 F1:0.8174
Ep 61 [lr=5.00e-05] | L:0.334 (BCE:0.326 REG:0.0019 LB:0.0000 CL:0.0622) | VAL_AUC:0.8946 PRC:0.8874 F1:0.8142
Ep 62 [lr=2.50e-05] | L:0.332 (BCE:0.324 REG:0.0019 LB:0.0000 CL:0.0620) | VAL_AUC:0.8940 PRC:0.8876 F1:0.8145
Ep 63 [lr=2.50e-05] | L:0.329 (BCE:0.321 REG:0.0019 LB:0.0000 CL:0.0615) | VAL_AUC:0.8951 PRC:0.8881 F1:0.8161
Ep 64 [lr=2.50e-05] | L:0.328 (BCE:0.320 REG:0.0019 LB:0.0000 CL:0.0613) | VAL_AUC:0.8943 PRC:0.8872 F1:0.8134
Ep 65 [lr=2.50e-05] | L:0.327 (BCE:0.319 REG:0.0019 LB:0.0000 CL:0.0613) | VAL_AUC:0.8947 PRC:0.8875 F1:0.8155
Ep 66 [lr=1.25e-05] | L:0.328 (BCE:0.320 REG:0.0019 LB:0.0000 CL:0.0613) | VAL_AUC:0.8947 PRC:0.8876 F1:0.8151
Ep 67 [lr=1.25e-05] | L:0.327 (BCE:0.319 REG:0.0019 LB:0.0000 CL:0.0612) | VAL_AUC:0.8946 PRC:0.8874 F1:0.8152
Ep 68 [lr=1.25e-05] | L:0.325 (BCE:0.317 REG:0.0019 LB:0.0000 CL:0.0610) | VAL_AUC:0.8944 PRC:0.8872 F1:0.8144
Early stop at epoch 68

最优 AUC: 0.8954  模型: results_operator_moe/MCF7/no_moe_r8_k4_Fold0_cl01.pt
